ExternOrderNo,SKU,SKU_No,Order_Qty
2001827036,8904223818706,8904223818706,1.00
2001827036,8904223819093,8904223819093,1.00
2001827036,8904223819109,8904223819109,1.00
2001827036,8904223818430,8904223818430,1.00
2001827036,8904223819277,8904223819277,1.00
2001827036,GIFTBOX202002,GIFTBOX202002,1.00
2001827036,8.90422E+12,8904223818638,2.00
2001827036,SACHETS001,SACHETS001,1.00
2001825261,8.90422E+12,8904223819024,4.00
2001825261,8.90422E+12,8904223819291,4.00
2001825261,8.90422E+12,8904223818638,3.00
2001825261,8.90422E+12,8904223818669,1.00
2001825261,SACHETS001,SACHETS001,1.00
2001823564,8.90422E+12,8904223819291,2.00
2001823564,8.90422E+12,8904223819031,2.00
2001823564,8.90422E+12,8904223819024,2.00
2001822466,8.90422E+12,8904223819468,2.00
2001822466,8.90422E+12,8904223819291,8.00
2001821995,8.90422E+12,8904223819130,1.00
2001821995,8.90422E+12,8904223818706,1.00
2001821766,8.90422E+12,8904223818591,2.00
2001821750,8.90422E+12,8904223818850,1.00
2001821750,8.90422E+12,8904223818430,1.00
2001821750,8.90422E+12,8904223819130,1.00
2001821742,8.90422E+12,8904223819468,1.00
2001821679,8.90422E+12,8904223818430,1.00
2001821502,8.90422E+12,8904223818980,1.00
2001821502,8.90422E+12,8904223819031,2.00
2001821502,8.90422E+12,8904223819024,2.00
2001821284,8.90422E+12,8904223818614,1.00
2001821284,8.90422E+12,8904223819024,1.00
2001821190,8.90422E+12,8904223819321,1.00
2001821190,8.90422E+12,8904223819338,1.00
2001821185,8.90422E+12,8904223818942,2.00
2001821185,8.90422E+12,8904223818683,2.00
2001821185,8.90422E+12,8904223819239,1.00
2001821185,8.90422E+12,8904223819246,1.00
2001821185,8.90422E+12,8904223819253,1.00
2001821185,8.90422E+12,8904223818669,1.00
2001821185,8.90422E+12,8904223819147,1.00
2001821185,8.90422E+12,8904223818850,1.00
2001820978,8.90422E+12,8904223815859,1.00
2001820978,8.90422E+12,8904223817501,1.00
2001820690,8.90422E+12,8904223817273,1.00
2001819252,8.90422E+12,8904223818942,1.00
2001819252,8.90422E+12,8904223818706,1.00
2001819252,SACHETS001,SACHETS001,1.00
2001818390,8.90422E+12,8904223819147,1.00
2001818390,8.90422E+12,8904223818935,4.00
2001818390,8.90422E+12,8904223818683,1.00
2001817160,8.90422E+12,8904223818478,1.00
2001817160,8.90422E+12,8904223819284,1.00
2001817093,8.90422E+12,8904223816214,1.00
2001817093,8.90422E+12,8904223818874,1.00
2001817093,8.90422E+12,8904223819512,1.00
2001817093,8.90422E+12,8904223818881,1.00
2001817093,8.90422E+12,8904223819291,2.00
2001817093,8.90422E+12,8904223819031,2.00
2001817093,8.90422E+12,8904223819024,2.00
2001817093,8.90422E+12,8904223818553,1.00
2001816996,8.90422E+12,8904223818706,1.00
2001816996,8.90422E+12,8904223818942,1.00
2001816996,8.90422E+12,8904223818850,1.00
2001816684,8.90422E+12,8904223816214,2.00
2001816684,8.90422E+12,8904223818874,2.00
2001816684,8.90422E+12,8904223818935,4.00
2001816131,8.90422E+12,8904223816665,2.00
2001816131,8.90422E+12,8904223819277,1.00
2001815688,8.90422E+12,8904223816214,1.00
2001815688,8.90422E+12,8904223818874,1.00
2001814580,8.90422E+12,8904223818706,1.00
2001813009,8.90422E+12,8904223816214,1.00
2001813009,8.90422E+12,8904223818874,1.00
2001813009,8.90422E+12,8904223818706,1.00
2001813009,8.90422E+12,8904223818942,1.00
2001813009,8.90422E+12,8904223818850,1.00
2001812941,8.90422E+12,8904223818706,1.00
2001812941,8.90422E+12,8904223818942,1.00
2001812941,8.90422E+12,8904223818850,1.00
2001812854,8.90422E+12,8904223818478,1.00
2001812854,8.90422E+12,8904223819130,1.00
2001812854,8.90422E+12,8904223819277,1.00
2001812854,8.90422E+12,8904223819284,1.00
2001812854,GIFTBOX202003,GIFTBOX202003,1.00
2001812854,8.90422E+12,8904223819291,2.00
2001812854,8.90422E+12,8904223819031,2.00
2001812854,8.90422E+12,8904223819024,2.00
2001812838,8.90422E+12,8904223818980,1.00
2001812838,8.90422E+12,8904223819031,4.00
2001812650,8.90422E+12,8904223819031,4.00
2001812650,8.90422E+12,8904223819017,1.00
2001812195,8.90422E+12,8904223818706,1.00
2001812195,8.90422E+12,8904223818942,1.00
2001812195,8.90422E+12,8904223818850,1.00
2001811809,8.90422E+12,8904223818706,1.00
2001811809,8.90422E+12,8904223818942,1.00
2001811809,8.90422E+12,8904223818850,1.00
2001811604,8.90422E+12,8904223816214,1.00
2001811604,8.90422E+12,8904223818669,2.00
2001811604,8.90422E+12,8904223818683,1.00
2001811475,8.90422E+12,8904223818706,1.00
2001811475,8.90422E+12,8904223818669,1.00
2001811475,8.90422E+12,8904223819499,1.00
2001811475,8.90422E+12,8904223819031,1.00
2001811466,8.90422E+12,8904223818706,1.00
2001811466,8.90422E+12,8904223818850,1.00
2001811466,8.90422E+12,8904223819468,1.00
2001811363,8.90422E+12,8904223815859,1.00
2001811363,8.90422E+12,8904223818751,1.00
2001811363,8.90422E+12,8904223815873,1.00
2001811363,8.90422E+12,8904223815859,1.00
2001811306,8.90422E+12,8904223819352,1.00
2001811306,8.90422E+12,8904223819543,1.00
2001811306,8.90422E+12,8904223819147,1.00
2001811306,8.90422E+12,8904223819468,1.00
2001811305,8.90422E+12,8904223816214,1.00
2001811305,8.90422E+12,8904223819499,1.00
2001811305,8.90422E+12,8904223819505,1.00
2001811305,8.90422E+12,8904223819512,1.00
2001811229,8.90422E+12,8904223819468,1.00
2001811229,8.90422E+12,8904223819345,1.00
2001811229,8.90422E+12,8904223818874,1.00
2001811192,8.90422E+12,8904223816214,1.00
2001811192,8.90422E+12,8904223818874,1.00
2001811192,8.90422E+12,8904223818881,1.00
2001811192,8.90422E+12,8904223819291,2.00
2001811192,8.90422E+12,8904223819031,2.00
2001811192,8.90422E+12,8904223819024,2.00
2001811153,8.90422E+12,8904223818706,1.00
2001811153,8.90422E+12,8904223818850,1.00
2001811153,8.90422E+12,8904223819468,1.00
2001811058,8.90422E+12,8904223818706,1.00
2001811058,8.90422E+12,8904223818942,1.00
2001811058,8.90422E+12,8904223818850,1.00
2001811039,8.90422E+12,8904223818706,1.00
2001811039,8.90422E+12,8904223818683,1.00
2001811039,8.90422E+12,8904223818850,1.00
2001810697,8.90422E+12,8904223818706,1.00
2001810697,8.90422E+12,8904223818850,1.00
2001810697,8.90422E+12,8904223819468,1.00
2001810549,8.90422E+12,8904223819468,1.00
2001810549,8.90422E+12,8904223818454,1.00
2001810549,8.90422E+12,8904223818669,1.00
2001810549,8.90422E+12,8904223818638,2.00
2001810281,8.90422E+12,8904223818706,1.00
2001810281,8.90422E+12,8904223818942,1.00
2001810281,8.90422E+12,8904223818850,1.00
2001810125,8.90422E+12,8904223818706,1.00
2001810125,8.90422E+12,8904223818942,1.00
2001810125,8.90422E+12,8904223818850,1.00
2001810104,8.90422E+12,8904223818850,1.00
2001810104,8.90422E+12,8904223818683,1.00
2001810104,8.90422E+12,8904223819468,1.00
2001809934,8.90422E+12,8904223818850,1.00
2001809934,8.90422E+12,8904223818683,1.00
2001809917,8.90422E+12,8904223819499,1.00
2001809917,8.90422E+12,8904223819505,1.00
2001809917,8.90422E+12,8904223819512,1.00
2001809820,8.90422E+12,8904223819277,1.00
2001809820,8.90422E+12,8904223818478,1.00
2001809820,8.90422E+12,8904223819284,1.00
2001809820,8.90422E+12,8904223819130,1.00
2001809820,8.90422E+12,8904223819031,2.00
2001809820,8.90422E+12,8904223819024,2.00
2001809820,8.90422E+12,8904223816214,1.00
2001809820,8.90422E+12,8904223818874,1.00
2001809820,8.90422E+12,8904223818881,1.00
2001809820,8.90422E+12,8904223818898,1.00
2001809820,8.90422E+12,8904223818706,1.00
2001809820,8.90422E+12,8904223818942,1.00
2001809820,8.90422E+12,8904223818850,1.00
2001809820,8.90422E+12,8904223818454,1.00
2001809794,8.90422E+12,8904223819284,1.00
2001809794,8.90422E+12,8904223819352,1.00
2001809794,8.90422E+12,8904223818935,1.00
2001809794,8.90422E+12,8904223816214,1.00
2001809794,8.90422E+12,8904223818454,1.00
2001809794,GIFTBOX202004,GIFTBOX202004,1.00
2001809794,8.90422E+12,8904223819116,1.00
2001809592,8.90422E+12,8904223818706,1.00
2001809592,8.90422E+12,8904223819024,8.00
2001809592,8.90422E+12,8904223818683,2.00
2001809592,8.90422E+12,8904223818850,1.00
2001809383,8.90422E+12,8904223818706,1.00
2001809383,8.90422E+12,8904223818850,1.00
2001809383,8.90422E+12,8904223819468,1.00
2001809270,8.90422E+12,8904223818706,1.00
2001809270,8.90422E+12,8904223818942,1.00
2001809270,8.90422E+12,8904223818850,1.00
2001808992,8.90422E+12,8904223818706,1.00
2001808992,8.90422E+12,8904223818942,1.00
2001808992,8.90422E+12,8904223818850,1.00
2001808883,8.90422E+12,8904223818706,1.00
2001808883,8.90422E+12,8904223818942,1.00
2001808883,8.90422E+12,8904223818850,1.00
2001808837,8.90422E+12,8904223818706,1.00
2001808837,8.90422E+12,8904223818942,1.00
2001808837,8.90422E+12,8904223818850,1.00
2001808832,8.90422E+12,8904223819338,1.00
2001808801,8.90422E+12,8904223817273,2.00
2001808801,8.90422E+12,8904223815866,2.00
2001808801,8.90422E+12,8904223815859,1.00
2001808801,8.90422E+12,8904223815682,1.00
2001808739,8.90422E+12,8904223816214,1.00
2001808739,8.90422E+12,8904223818874,1.00
2001808679,8.90422E+12,8904223818706,1.00
2001808679,8.90422E+12,8904223818942,1.00
2001808679,8.90422E+12,8904223818850,1.00
2001808675,8.90422E+12,8904223818614,1.00
2001808675,8.90422E+12,8904223815866,1.00
2001808675,8.90422E+12,8904223815859,1.00
2001808675,8.90422E+12,8904223817334,1.00
