AWB Number,Order ID,SKU No,Order Qty,WeightPerQty,Total weight as per X (KG),Weight slab as per X (KG),Total weight as per Courier Company (KG),Weight slab charged by Courier Company (KG),Delivery Zone as per X,Delivery Zone charged by Courier Company,CourierRatePer0.5KG,Billing_Amount
1091121183730.00,2001821995.00,8904223818706.00,1,127,0.127,0.5,0.5,1,d,d,45.4,45.4
1091122418320.00,2001827036.00,8904223818706.00,1,127,0.127,0.5,1.6,2,b,b,33,117.9
1091117225484.00,2001806616.00,8904223818713.00,1,120,0.12,0.5,1.08,1.49,b,b,33,89.6
1091117323112.00,2001807058.00,8904223818713.00,1,120,0.12,0.5,1.15,1.49,b,b,33,89.6
1091117325094.00,2001807415.00,8904223818713.00,1,120,0.12,0.5,1,1,b,b,33,61.3
1091117327496.00,2001807976.00,8904223818713.00,1,120,0.12,0.5,0.7,1,d,d,44.8,172.8
1091117224902.00,2001806567.00,8904223815804.00,1,160,0.16,0.5,1.16,1.49,d,d,45.4,135
1091117795531.00,2001809794.00,8904223818454.00,1,232,0.232,0.5,1.5,2,d,d,45.4,135
1091117795623.00,2001809820.00,8904223818454.00,1,232,0.232,0.5,3,3,d,d,45.4,269.4
1091117806263.00,2001810549.00,8904223818454.00,1,232,0.232,0.5,1.86,2,d,d,45.4,179.8
1091117323112.00,2001807058.00,8904223818751.00,1,113,0.113,0.5,1.15,1.49,b,b,33,89.6
1091117435134.00,2001808118.00,8904223818751.00,1,113,0.113,0.5,0.5,1,b,b,33,33
1091117958395.00,2001811363.00,8904223818751.00,1,113,0.113,0.5,0.59,1,d,d,45.4,90.2
1091117222065.00,2001806226.00,8904223818850.00,2,240,0.48,1,0.68,1,d,d,45.4,90.2
1091117222080.00,2001806229.00,8904223818850.00,1,240,0.24,0.5,0.71,1,d,d,45.4,90.2
1091117222194.00,2001806273.00,8904223818850.00,1,240,0.24,0.5,1,1,d,d,45.4,90.2
1091117222360.00,2001806304.00,8904223818850.00,1,240,0.24,0.5,0.71,1,d,d,45.4,90.2
1091117222570.00,2001806338.00,8904223818850.00,1,240,0.24,0.5,0.7,1,d,d,45.4,90.2
1091117223211.00,2001806446.00,8904223818850.00,1,240,0.24,0.5,0.69,1,d,d,45.4,90.2
